urb/no urb,State,County,Fips,Difference in Urban Land 2010-2060,Difference in Urban Tree Cover 2010-2060,Urban Tree Cover Change Index,Difference in Temperature Celsius 2010-2060,Temperature Change Index,Difference in Precipitation mm/year 2010-2060,Absolute Precipitation Change Index,Difference in Aridity 2010-2060,Aridity Change Index,Flood Risk Index,Difference in Sea Level Rise % inundation 2010-2060,Sea Level Rise Index,Wildfire Change Index,Hurricane Threat Index,Tornado Risk Index,Ice Storm Risk Index,Pest Index,CTI
0,Alabama,Coffee County,1031,9.495435786,-3.185134514,0.091215256,2.251000849,0.641929988,157.618165,0.471274313,0.199313629,0.491981055,0.02408658,0,0,0.012062424,0.575778972,0.244047619,0,0.333333333,0.594932556
0,Alabama,Colbert County,1033,12.10663909,-2.995206884,0.085776146,2.547072557,0.726362346,227.3175505,0.679673706,0.107771734,0.266021202,0.109766379,0,0,0.012625296,0.193460704,0.273809524,0.103448276,0.333333333,0.57441568
0,Alabama,Conecuh County,1035,0.375391149,-10.84325147,0.310526905,2.425363113,0.691653811,147.9164042,0.442266294,0.218884346,0.540288951,0,0,0,0.041470583,0.579479218,0.130952381,0,0.222222222,0.609728845
1,Alabama,Coosa County,1037,0.374906054,-999,,-999,,-999,,-999,,,-999,,,0.287079744,0.130952381,0.034482759,0.277777778,
0,Alabama,Covington County,1039,1.14732578,-8.9527331,0.256386611,2.414728863,0.688621185,159.167586,0.475907042,0.208546352,0.51477089,0.001618292,0,0,0.016732167,0.621625713,0.196428571,0,0.277777778,0.628137098
1,Alabama,Crenshaw County,1041,0.376039389,-999,,-999,,-999,,-999,,,-999,,,0.512356903,0.142857143,0,0.277777778,
0,Alabama,Cullman County,1043,9.386739381,-4.662309065,0.133518291,2.51456997,0.717093409,177.3468891,0.530262697,0.149260663,0.368431496,0.036495377,0,0,0.011261111,0.228168026,0.678571429,0.068965517,0.388888889,0.650748564
0,Alabama,Dale County,1045,13.1446795,-8.906716598,0.2550688,2.263927095,0.645616235,158.4699174,0.473821031,0.197267448,0.486930309,0.030608995,0,0,0.013002167,0.556664457,0.202380952,0.034482759,0.277777778,0.613267195
0,Alabama,Dallas County,1047,2.735574084,-0.758326924,0.021716817,2.482805415,0.70803494,106.3418228,0.317959351,0.163874605,0.404504204,0.605512287,0,0,0.014664453,0.418555434,0.220238095,0.034482759,0.333333333,0.634029944
0,Alabama,DeKalb County,1049,0.375475905,-9.861255729,0.282404704,2.631768026,0.750515407,230.641308,0.689611657,0.135932746,0.335533179,0.132314078,0,0,0.01426026,0.235489804,0.619047619,0.24137931,0.333333333,0.746267616
0,Alabama,Elmore County,1051,13.08927362,-4.656261019,0.133345088,2.391949503,0.682125072,117.2002025,0.350425631,0.175528109,0.433269438,0.111506455,0,0,0.040145444,0.37775582,0.238095238,0.034482759,0.222222222,0.541869522
0,Alabama,Escambia County,1053,1.615973443,-3.465825675,0.099253635,2.292665798,0.653811806,159.2930003,0.476282028,0.225990702,0.55783011,0.071033322,0,0,0.04837898,0.655171265,0.172619048,0,0.222222222,0.609272127
0,Alabama,Etowah County,1055,27.32964677,-8.066014533,0.230992939,2.499004458,0.712654508,196.9104301,0.588757188,0.152508952,0.376449494,0.187053852,0,0,0.023231685,0.240175482,0.25,0.068965517,0.444444444,0.642873926
0,Alabama,Fayette County,1057,0.375409972,-18.1797505,0.520628123,2.608581766,0.743903257,132.2585204,0.395449619,0.148792035,0.367274744,0.017279268,0,0,0.016536585,0.228910473,0.351190476,0.068965517,0.277777778,0.615605924
0,Alabama,Franklin County,1059,1.619150856,-5.073066821,0.145281491,2.594332379,0.739839683,204.4401614,0.611270894,0.120051815,0.296333064,0.041466746,0,0,0.014781521,0.194634532,0.214285714,0.103448276,0.333333333,0.556291865
0,Alabama,Geneva County,1061,0.37605809,-9.199752968,0.263460718,2.242953246,0.63963501,177.5897157,0.530988743,0.202493879,0.499831109,0.061988923,0,0,0.01982114,0.66195551,0.107142857,0,0.277777778,0.630712723
1,Alabama,Greene County,1063,0.382076248,-999,,-999,,-999,,-999,,,-999,,,0.354108531,0.113095238,0.068965517,0.277777778,
0,Alabama,Hale County,1065,0.384311854,-9.5772448,0.274271255,2.620724395,0.747366036,117.0242831,0.349899636,0.16276182,0.401757432,0.11640826,0,0,0.019677775,0.347478632,0.220238095,0.068965517,0.333333333,0.593655504
0,Alabama,Henry County,1067,0.376260616,-7.115754079,0.203779567,2.212015775,0.630812406,157.9689312,0.472323095,0.202506619,0.499862555,0.001547978,0,0,0.012087236,0.534155179,0.172619048,0.034482759,0.277777778,0.585575108
0,Alabama,Houston County,1069,23.61697164,-5.555970771,0.159110799,2.23702567,0.637944612,160.7045216,0.480502441,0.195687282,0.483029865,0.053921487,0,0,0.015551041,0.63590778,0.226190476,0,0.222222222,0.600731904
0,Alabama,Jackson County,1071,1.897937303,-8.778717564,0.251403189,2.44361249,0.696858083,222.0904155,0.664044705,0.130605507,0.322383549,0.20711903,0,0,0.008873758,0.182026481,0.357142857,0.172413793,0.388888889,0.668851431
0,Alabama,Jefferson County,1073,35.30912338,-3.328982964,0.09533476,2.555490955,0.728763066,153.7959846,0.45984609,0.156107705,0.385332571,0.058975176,0,0,0.031058453,0.233079864,0.755952381,0.034482759,0.333333333,0.641545682
1,Alabama,Lamar County,1075,0.376147179,-999,,-999,,-999,,-999,,,-999,,,0.232843746,0.261904762,0.068965517,0.222222222,
0,Alabama,Lauderdale County,1077,13.08032162,-9.918069475,0.284031725,2.519993774,0.718640144,241.25208,0.721337596,0.109946275,0.27138879,0.078000633,0,0,0.017933893,0.197736893,0.279761905,0.137931034,0.333333333,0.626160445
0,Alabama,Lawrence County,1079,0.374422522,-8.656932543,0.247915533,2.500681128,0.713132653,194.1214884,0.580418323,0.12224437,0.301745116,0.120598354,0,0,0.016015505,0.221762452,0.327380952,0.103448276,0.333333333,0.611122519
